sujet,date,statut
Comment les pigments à base d'orpiment produisaient-ils les jaunes dorés mais toxiques des fresques byzantines ?,2025-10-15T14:59:42.962807,succès
Quelle est la différence entre une loutre marine et une loutre fluviale dans l'art rupestre côtier ?,2025-10-17T09:35:51.785170,succès
Pourquoi les artistes victoriens combinaient-ils photographie et peinture pour documenter les animaux exotiques ?,2025-10-21T09:40:43.133694,succès
Comment les fresques de Qasr al-Hayr documentent-elles les programmes de chasse califaux syriens ?,2025-10-24T09:36:29.356829,succès
Quelle technique de raccourci perspectif les artistes Renaissance utilisaient-ils pour les animaux en profondeur ?,2025-10-28T07:35:31.915460,succès
Pourquoi les lions de chasse ottomans étaient-ils toujours représentés en paire symétrique ?,2025-11-04T07:36:08.451044,succès
Comment les artistes néolithiques de Çatalhöyük représentaient-ils les taureaux sur les murs ?,2025-11-11T07:36:03.551797,succès
Quelle est la différence entre un dragon taoïste et un dragon bouddhiste dans l'art chinois ?,2025-11-18T07:20:25.731967,succès
Les animaux dans les miniatures persanes safavides : réalisme ou stylisation codifiée ?,2025-11-25T07:21:17.181331,succès
Pourquoi le léopard était-il l'emblème de Dionysos dans l'art gréco-romain ?,2025-12-02T07:23:13.146966,succès
Comment George Stubbs révolutionna-t-il l'anatomie équine par la dissection systématique ?,2025-12-09T07:22:47.556348,succès
Quelle symbolique du loup dans l'art étrusque versus l'art romain républicain ?,2025-12-16T07:24:36.315966,succès
Les animaux dans les tapis de soie ottomans : statut social ou simple décoration ?,2025-12-23T07:25:23.294714,succès
Pourquoi les chevaux arabes sont-ils systématiquement peints avec des narines dilatées dans l'art islamique ?,2025-12-30T07:23:52.500116,succès
Comment les artistes de Lascaux créaient-ils l'illusion de profondeur pour les troupeaux ?,2026-01-06T07:27:11.473234,succès
Quelle est l'origine du double aigle byzantin et sa transmission aux empires ultérieurs ?,2026-01-13T07:26:12.283103,succès
Les animaux héraldiques dans les blasons croisés : influences orientales après 1099 ?,2026-01-20T07:29:17.312571,succès
Pourquoi Albrecht Altdorfer peignait-il des batailles avec si peu d'animaux visibles ?,2026-01-27T07:31:56.881410,succès
Comment les calligraphes ottomans intégraient-ils des formes animales dans leurs tughra ?,2026-02-01T07:40:41.338819,succès
Quelle différence entre un éléphant de guerre indien et un éléphant d'Hannibal dans l'art antique ?,2026-02-02T07:53:54.148888,succès
